1002386735, Capillary, PSS-co-MA/PEG, Acrylate, Circular, KCl, DI water, , NaCl, , , 2,33, 3,0, 0,0, 0,0, 2,0, 4,0, 4,0, 1,0
Number of channels: 18
00:00:00, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:00, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:01, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
